[2025-05-23 01:14:11] [INFO] No IPs currently blocked
[2025-05-23 01:14:19] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:19] [INFO] 
=== NETWORK SCAN ===
[2025-05-23 01:14:19] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-23 01:14:19] [INFO] IP Address: 192.168.1.9
[2025-05-23 01:14:19] [Level 21] ✅ Selected scans completed!
[2025-05-23 01:14:22] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:22] [INFO] 
=== PROCESS SCAN ===
[2025-05-23 01:14:23] [INFO] {'name': 'HPPrintScanDoctorService.exe', 'pid': 5296, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'OneApp.IGCC.WinService.exe', 'pid': 5304, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WMIRegistrationService.exe', 'pid': 5312, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'jhi_service.exe', 'pid': 5320, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5328, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'ipf_uf.exe', 'pid': 5336, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'Service.exe', 'pid': 5348, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'kpm_service.exe', 'pid': 5356, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'PnkBstrA.exe', 'pid': 5364, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RazerCentralService.exe', 'pid': 5380, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzSDKService.exe', 'pid': 5388, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5396, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'TFSPEQService.exe', 'pid': 5404, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RtkAudUService64.exe', 'pid': 5412, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'GameManagerService.exe', 'pid': 5420, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5432, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'vmnetdhcp.exe', 'pid': 5440, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzSDKServer.exe', 'pid': 5448, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'vmware-usbarbitrator64.exe', 'pid': 5456, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'vmware-authd.exe', 'pid': 5464, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'vmnat.exe', 'pid': 5472, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5516, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 5524, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 6072, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 6308, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6404, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzAppManager', 'pid': 6604, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'NVIDIA Overlay.exe', 'pid': 6620, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'RzBTLEManager', 'pid': 6648, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzChromaConnectManager', 'pid': 6684, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzChromaConnectServer', 'pid': 6712, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzDeviceManager', 'pid': 6748, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6756, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6828, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzDiagnostic', 'pid': 6836, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6848, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6892, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzIoTDeviceManager', 'pid': 6904, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 6928, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 6968, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzSmartlightingDeviceManager', 'pid': 6988, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 7008, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'conhost.exe', 'pid': 7088, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'SecurityHealthService.exe', 'pid': 7144, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'dllhost.exe', 'pid': 7352, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 7424, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 7764, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WmiPrvSE.exe', 'pid': 8224, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'GitHubDesktop.exe', 'pid': 8824, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Razer Synapse Service.exe', 'pid': 9196, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'AggregatorHost.exe', 'pid': 9224, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'NVDisplay.Container.exe', 'pid': 9268, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 9356, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RzChromaStreamServer.exe', 'pid': 9524, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'avp.exe', 'pid': 9632, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'SearchProtocolHost.exe', 'pid': 9688, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WmiPrvSE.exe', 'pid': 9976, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'plugin-nm-server-v2.exe', 'pid': 10036, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 10088, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'RTSS.exe', 'pid': 10296, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 10380, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 10472, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 10600, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 10688, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'SystrayComponent.exe', 'pid': 10724, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'csrss.exe', 'pid': 10856, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'ApplicationFrameHost.exe', 'pid': 11012, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'msedge.exe', 'pid': 11068, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 11140, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 11272, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'Spotify.exe', 'pid': 11328, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 11448, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 11508, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'CefSharp.BrowserSubprocess.exe', 'pid': 11884, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 12172, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 12416, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 12592, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 12624, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 12736, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 12824, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'SearchIndexer.exe', 'pid': 13056, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'RuntimeBroker.exe', 'pid': 13220, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'msedge.exe', 'pid': 13408, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'GCUService.exe', 'pid': 13876, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 14264, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'sihost.exe', 'pid': 14360, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'ksde.exe', 'pid': 14872, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'nvsphelper64.exe', 'pid': 15408, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 15876, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'WmiPrvSE.exe', 'pid': 16084, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 16352, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'Razer Synapse 3.exe', 'pid': 16492, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 16696, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'GitHubDesktop.exe', 'pid': 17352, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'ctfmon.exe', 'pid': 17860, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 17932, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'avpui.exe', 'pid': 18040, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'EncoderServer.exe', 'pid': 18384, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'CefSharp.BrowserSubprocess.exe', 'pid': 18560, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'dllhost.exe', 'pid': 18772, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'msedge.exe', 'pid': 19028, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 19548, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'CompPkgSrv.exe', 'pid': 19684, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'nvcontainer.exe', 'pid': 20132, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'msedge.exe', 'pid': 20248, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'RuntimeBroker.exe', 'pid': 20372, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 20476, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'avp.exe', 'pid': 20528, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'avp.exe', 'pid': 21156, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'CefSharp.BrowserSubprocess.exe', 'pid': 21184, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Spotify.exe', 'pid': 21300, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'ipf_helper.exe', 'pid': 21360, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 21572, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 22136, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 22248, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 22276, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 22496, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'vmcompute.exe', 'pid': 22596, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'dasHost.exe', 'pid': 23060, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'dasHost.exe', 'pid': 23204, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'wslservice.exe', 'pid': 23452, 'username': None}
